vector_address,target,slot_label,target_label,target_decoded
0xFFD6,0xA7DE,vector_slot_ffd6,sub_A7DE,true
0xFFD8,0xB94D,vector_slot_ffd8,fault_stop_bit08,true
0xFFDA,0xB94D,vector_slot_ffda,fault_stop_bit08,true
0xFFDC,0x7392,vector_slot_ffdc,timer_capture_handler,true
0xFFDE,0x72CB,vector_slot_ffde,sub_72CB,true
0xFFE0,0x583A,vector_slot_ffe0,sub_583A,true
0xFFE2,0xBC91,vector_slot_ffe2,sub_BC91,true
0xFFE4,0x5565,vector_slot_ffe4,sub_5565,true
0xFFE6,0x7F33,vector_slot_ffe6,sub_7F33,true
0xFFE8,0x6FE4,vector_slot_ffe8,sub_6FE4,true
0xFFEA,0xE0E7,vector_slot_ffea,sub_E0E7,true
0xFFEC,0x9315,vector_slot_ffec,sub_9315,true
0xFFEE,0xEB37,vector_slot_ffee,sub_EB37,true
0xFFF0,0x95F3,vector_fff0,interrupt_handler_95f3,true
0xFFF2,0x6405,vector_fff2,interrupt_handler_6405,true
0xFFF4,0xB94D,vector_fff4,fault_stop_bit08,true
0xFFF6,0xB94D,vector_fff6,fault_stop_bit08,true
0xFFF8,0xB948,vector_fff8,fault_fatal_bit04,true
0xFFFA,0xB93D,vector_fffa,fault_soft_restart_bit01,true
0xFFFC,0xB942,vector_fffc,fault_soft_restart_bit02,true
0xFFFE,0xB800,reset_vector,reset_entry,true
